SessionID,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession
QCQP4UG8UI,O5342698,Referral,179,No,3
B1IMGF1MXG,O4524773,SEO,178,No,2
WB8KKC930O,P5004589,Display,152,No,1
HTKR2163XE,O5683880,Referral,84,Yes,3
YAQ9XAPKZ8,P7435869,Display,67,Yes,2
1XHVX7O3YN,O1503476,Direct,88,No,1
VH0PWLKJ9L,P6812463,Display,102,Yes,2
AOY2W36YYO,P7340632,Paid Search,120,No,3
YDUEADHU7P,P1294632,Display,301,No,6
MLRMFKFOI8,P7443882,Paid Search,358,No,6
FK0KRSVH13,O3035841,SEO,77,No,1
E5KKPJ0TK5,P6830831,Paid Search,177,No,3
6QKIE25OWP,O9107546,Direct,122,No,1
MB9A7KV6E1,P7808795,Display,66,Yes,3
LZLZ2902L3,P6246272,Display,71,Yes,2
XTR96HA7V7,P1201310,Paid Search,85,No,1
MKTSC4X1I8,P4406335,Paid Search,94,No,3
KSW8KXY23H,O5266802,Direct,477,No,6
PYDKB2VQYP,O3909256,Direct,136,No,2
O2V8JILQYA,P1679994,Paid Search,454,No,4
ZX2FE5U0IN,P9216048,Display,154,No,3
6HCSQ1DN44,O5508623,Direct,138,No,1
X2JQ5Z0SS0,O5544533,SEO,68,Yes,1
WLRAMQ84I3,P3622220,Display,109,No,1
B2XT8XZRGM,P5056182,Paid Search,174,No,1
0AWL2AHGPW,O8203117,SEO,75,No,1
X3V4S45KW8,O1062830,Direct,175,No,3
XNQX1HH5ST,O4363696,Direct,126,Yes,2
LIDVO038H4,O5607970,Referral,153,No,2
VI7B7V44QH,O1526381,Referral,110,No,2
5NBSJYG9GU,O9159678,Direct,65,No,3
8Q61WYK90G,P1612512,Display,80,No,3
12PZMS41QA,O9300987,SEO,81,No,1
VCCYKMH510,P7125752,Display,88,No,1
PFD1KL1M9Z,P8595954,Display,96,No,2
5251F5ZD9X,O1421883,SEO,132,Yes,1
P3OGMI7K59,P1226587,Display,151,No,2
NLOX9ICCPR,O4536690,Referral,95,No,2
LDKX76WH3N,P9806171,Display,155,Yes,2
BA3LBJIH2F,O2028859,Direct,61,No,3
FWDVUDAAS5,P8464936,Paid Search,84,No,2
RAMYJOYVBW,P5727238,Display,160,No,3
6VRMM5UP0T,P6112853,Display,146,Yes,3
EL5CKH752G,P3772439,Display,72,Yes,2
ON3C5TEZN0,O3503440,SEO,66,No,3
VWGBAV0M1Y,O7851578,SEO,69,No,2
SQ7IKODC2S,O2014320,Direct,159,No,3
