SessionID,ExposureID,TrafficChannel,SessionDuration,Bounced,PagesperSession
6VY2068AUN,P8602046,Display,69,No,1
4BD4J8EL8Z,O3954042,SEO,179,No,1
NB5WA5M356,O6219257,SEO,101,No,1
RYF1PNYHKW,O9256734,Direct,160,Yes,1
7ICUXLCWY0,P4534766,Paid Search,368,No,4
WJ6GYX0WTC,O1723533,Direct,88,No,2
GS7O9X7DU3,O1817291,Referral,75,No,3
HW2D579741,P3508338,Display,101,No,3
U23V5VGRBP,P1584908,Display,94,No,3
H3CCOQD2AN,P8972521,Paid Search,124,Yes,1
DEG2GK117H,P6737378,Paid Search,64,No,3
RSNFLKDAIQ,P4109156,Paid Search,174,Yes,1
VTCWMLKIGI,O2773324,Direct,114,No,3
9D7BNEAY3C,P4526634,Paid Search,164,No,3
9NX5YTVDPB,P4143826,Paid Search,75,No,1
ZM20BK8QZR,P5756855,Display,75,No,1
RCOFYII6TM,O9316330,Direct,109,No,1
6LPB3FOSFX,O7324637,Direct,100,No,3
V7TBQANPFX,P1471585,Paid Search,104,Yes,1
FU969KB4Z9,O4452210,Referral,443,No,4
1IE7J9ZX8H,P6506196,Display,158,No,2
UL2648JMRU,O3350484,Referral,178,No,3
OI6BPEDSOV,O5650880,Referral,153,No,1
6ZABHVJMPH,P6754598,Display,151,Yes,3
5SUKN6MSM2,O3190962,SEO,154,Yes,1
D0DPBDQGM7,O1631114,Direct,165,Yes,3
MW97C1WG4U,O6463009,SEO,136,No,2
EHZGGX1QEO,O3120442,SEO,144,Yes,1
U4J4OIF7JU,O6862646,Referral,136,No,1
3C8DAD3RLR,P2016579,Paid Search,133,No,2
2IUO762XXQ,P8134491,Display,313,No,4
S4JH5R9Y7H,P4437329,Paid Search,157,No,3
B3MW9G2HMZ,P7601710,Paid Search,125,Yes,3
5PTCMU7I89,P6958676,Paid Search,490,No,5
62ZVHSGCMK,O9091626,Direct,137,Yes,1
5B2EEH4FS5,P6589733,Display,151,No,3
WNQV5GEWJK,P5080847,Display,121,Yes,1
BZ5H6EHWVT,P4593562,Display,64,Yes,1
LOFYSZHJIQ,O7204797,Direct,141,No,2
ZP35ZLTT6E,O6477949,Direct,128,No,1
FZBVOPL51L,P6530216,Paid Search,112,No,2
QEFIMNG2EC,O2928530,SEO,141,Yes,3
9IED243U5U,O6299218,Referral,65,Yes,3
EPPZSUF43V,P5314662,Display,542,No,4
C7YCV9N5DT,O7798158,Direct,133,No,2
ZLO86RN4I5,O6651095,Referral,105,No,1
FL0602ATEW,O6726447,SEO,393,No,5
92978O2QNU,P9479903,Paid Search,130,No,3
4MU8LQW2GU,O1818982,Referral,582,No,4
9EZ6A0IO2B,P8394193,Paid Search,71,Yes,2
LIHITUAXNT,O7790514,Direct,93,No,2
NMGNWD21Z5,P7767954,Display,379,No,4
XQ97Y5JN5W,P3747731,Paid Search,334,No,4
0470QDBATT,P7168719,Display,125,Yes,3
B9Z7I3VZJX,O1075178,SEO,155,No,1
APM287TTSU,O1988061,SEO,534,No,6
XG3Y4E762Z,O8519264,Referral,119,No,3
8DO4FYSLX6,P5608774,Display,574,No,4
LHW513BBJU,O7931488,Direct,86,Yes,1
C8D7U8Q8SZ,O9683887,SEO,145,No,1
2T5J55UQ0B,P2503475,Display,130,No,3
PVWVYPYGXJ,O3545159,SEO,491,No,6
KW1MUI1HPP,O2312408,Referral,100,No,1
GYKI7J3ZD7,P1188069,Display,83,No,2
U8QLXB1LJS,P7794174,Display,162,No,2
5M63TX2MUI,P4769015,Paid Search,329,No,6
91KMYGYCLK,P4503732,Paid Search,533,No,4
UIP5Q33ROZ,P7419671,Paid Search,76,Yes,3
6PI5CJVBQG,P8434087,Display,145,Yes,3
DEDXJHCT3Q,P2485754,Display,74,No,1
DF6042NI2G,P6000273,Paid Search,594,No,6
S8YJA24PTH,P3409280,Paid Search,70,Yes,2
2LQ4CZAYRT,P1186816,Display,175,No,2
9V365AMEOI,O5719782,Referral,67,No,1
A1MBV9MKI7,P3935836,Paid Search,67,No,3
RXJSQNOTZX,O8284037,Direct,125,No,2
LK00VM48KH,O5921710,SEO,134,No,1
0BZ0RORA6U,P8491562,Paid Search,96,Yes,3
FVDSANXK4L,P6230003,Display,344,No,5
27AYP11YY3,O3341045,Direct,104,No,2
TNDWUGOSNQ,P8870759,Paid Search,158,No,2
GR2ZEVKLA6,O8829804,Referral,110,No,3
WX7J7PZEUF,P6017876,Paid Search,86,No,3
W6L14SOGJT,O2627331,Direct,169,No,1
W828GFFSSV,O9713670,Direct,151,No,3
DGEI7TZ7VV,P6636770,Display,84,No,3
TC076A765M,P5132121,Paid Search,157,No,3
CLVGH70SRB,P9812179,Paid Search,502,No,5
QL0OPO0I39,O6963484,SEO,178,No,3
CHLQ4JHAOT,P8385277,Display,161,No,1
043E4IS5KI,P9441232,Paid Search,143,No,2
WHPDY8GT76,O1396918,Direct,172,No,1
V17WN8ZD36,O2593253,Referral,178,Yes,1
EDPXINQNNV,P3275152,Display,88,No,3
PKXLCSEYUX,P5248415,Display,100,No,1
22ED778L3D,O7900842,Direct,319,No,4
5P4WVL6601,P6251372,Display,150,Yes,3
BUOXMD7O3U,O1876829,SEO,172,No,1
CFXLPXYQHS,O7738543,Direct,85,No,1
2NBZSYJR5D,O2179371,Referral,77,No,2
TT6WOFAI85,P6686898,Display,122,No,1
4P61A13NLU,O7550992,Direct,127,Yes,1
5X21XDALUV,O8220296,SEO,63,Yes,3
GC8B271361,O5517411,SEO,151,No,1
VVFTUX96X1,P9952638,Display,77,No,1
47A7G2C8C0,P2826323,Paid Search,124,No,1
NJYMMUHNGK,O9648793,Referral,62,Yes,3
D1B6AJWVVI,P6380351,Paid Search,113,No,2
JTQNIVETOT,P1195410,Paid Search,587,No,5
YF56S7J18R,O6283400,Referral,65,No,1
S85776R5B5,P3372793,Display,151,No,1
9QJ1EF6ECA,P6908348,Display,154,No,3
CQLCFVD85F,P9634943,Display,473,No,4
B4QC5J9RPQ,O4345455,Direct,153,No,1
B2APKVBUIH,O3289192,Direct,132,Yes,2
RV33KGF6IH,P7124863,Display,420,No,5
MC9UETVNZE,P4085010,Display,94,No,2
5Q18NSFZ6C,O9130192,SEO,148,No,3
A9PCQACHJ6,P8727567,Paid Search,105,No,2
37BB9CBOZ5,O7210231,SEO,116,No,1
LXZTIAUIWH,O3881558,Direct,112,No,3
LFUIB75PUF,O3801087,SEO,87,Yes,3
H7BNIHS0XS,O9674809,Referral,79,No,1
CW4OPJJ05S,O9234580,Direct,179,Yes,2
QPE4OSE0BU,P8809643,Paid Search,582,No,5
EPMFJGNUYS,P4768673,Paid Search,60,No,3
R1F0NNY0C2,O1724881,SEO,351,No,5
ND13C4176R,P1248270,Display,418,No,4
F7RIWUIP3T,O5454103,Referral,165,No,3
JRARSBDLUW,P9801372,Paid Search,353,No,5
YSZLHF13NB,P7847598,Paid Search,143,No,3
YXPRI82Z4N,P8995001,Paid Search,78,Yes,2
NLPRFEXBGP,O9238126,Direct,165,No,1
4RJP3X42DC,O3964755,Direct,145,No,1
SYKB8QQ1W4,P6603246,Display,119,No,1
W711NBIRN9,O3717691,SEO,539,No,6
GKKRDLE2SD,P2557385,Paid Search,328,No,4
EK9FLCJ8Y7,P6667635,Display,96,No,2
NNIP5DGT0W,P7500638,Paid Search,111,No,3
PKKTDK8NDD,O7807853,Direct,72,No,2
3GM0OEAQ9G,P3460375,Display,134,Yes,3
ZSTD9X784F,P3076235,Display,312,No,5
18T8P33DG4,P6500240,Display,134,Yes,2
50267Q42J9,P8018387,Display,160,No,1
DICHR3KMOF,P3115128,Paid Search,492,No,5
HM9W56DAFV,P6962338,Paid Search,142,No,3
2M94IUWX6B,P7784718,Paid Search,165,No,3
332OZ2C4MS,P3436343,Display,126,No,3
2U3KA2TDS6,O8380459,Direct,124,No,2
BT1E3KELOS,O1237079,Referral,170,No,2
7HNXEN4EZJ,P8805637,Display,89,No,3
VHTOSSP1VA,P2313459,Paid Search,80,No,3
HB9JVS82T2,O1822148,Referral,79,No,3
A6BRPU4GWI,P9573334,Paid Search,486,No,4
O0PUNLIHDN,P2894779,Display,104,No,1
0UJRR3HXXY,O9818497,Direct,64,Yes,3
ILP3IP1OIF,O3968173,SEO,110,No,1
ZY84O0XBRM,P2026145,Display,350,No,4
9VSPZJH2UM,P6032027,Display,65,No,3
31TCGS6HJV,O9368547,Referral,168,No,1
ZGUQJE7VUZ,O5773144,Referral,159,No,1
2E8FNPUYQH,P2520204,Display,484,No,6
UQ84KG8OLM,P3771374,Paid Search,60,Yes,2
UICD2GYQEO,P8366642,Paid Search,345,No,5
5C29ZU2G6Q,O8645143,Direct,149,No,1
H3ZP38VGHJ,P6821166,Display,105,Yes,3
C91MPWL4XZ,P5551102,Paid Search,302,No,4
2YA1V8LGR9,O2647768,Referral,91,Yes,2
BN6MP2OPIS,O8336130,Direct,120,Yes,1
DH5J25HHW8,O7136922,SEO,507,No,4
OLDTG3J0XJ,O7034515,Referral,140,No,2
5H99620005,O5288920,Direct,336,No,6
IDUVZI0QRJ,O2581118,Direct,76,No,1
OH2NE02FY5,O2742210,Referral,119,Yes,3
CC0L6GAD7Y,O3125497,Referral,98,Yes,1
B34XJCSEPB,P2315077,Display,116,No,3
2JU0N74JDT,P3279309,Paid Search,137,Yes,1
G7340OH5GG,P6567587,Paid Search,508,No,5
QYY8F9YW7T,P3345367,Paid Search,61,No,3
2FY0IP9QPM,O5607406,Direct,555,No,4
GROPG0YMAX,P7877093,Display,410,No,5
ZKZ644XYHI,O4620059,SEO,119,Yes,1
E8JMHTEIM6,P1032025,Display,146,No,2
97W8PVWOUF,O4234223,Referral,131,No,2
IT5B8ATU03,P4949462,Paid Search,310,No,5
FR6I9M85S2,O1715057,SEO,178,No,2
0JIK3X674J,P6155819,Display,75,No,3
GOHA2A01GB,P5234385,Display,67,No,2
VNHCXCN2DN,P3999803,Display,169,No,1
WO12ETL9PH,P7823015,Paid Search,138,Yes,2
1G4DMNBUI2,O5112078,SEO,368,No,6
IPOMEZ1FC4,O2861943,Direct,143,No,2
ZEJXKRTJ9T,O1124739,Direct,147,No,3
87WO33YKFS,O9184724,Referral,171,No,2
VND3UTODR3,O5436161,Direct,136,Yes,3
GX23MRG4AD,O5300268,Referral,82,No,2
5UUMYBGBNF,O4674310,Referral,129,No,1
B2562GYE2M,O5120146,Referral,429,No,6
M6ARES7RGR,P1114613,Paid Search,84,No,2
NRDC7F2CVB,O2722474,Direct,110,Yes,1
8AX3HVMITJ,O4971431,Referral,150,Yes,3
PJGI026TNI,P7021244,Display,508,No,6
9RS713QLCD,P7908435,Display,72,No,2
K3A0SFHGTB,O8336938,Direct,162,Yes,2
I4DKQS4834,O4771800,Direct,82,Yes,1
OT47MB5ZOY,P6601018,Paid Search,143,No,3
93U3RK348I,P1550540,Paid Search,109,No,1
6HDH5YOG0E,P2093556,Display,169,No,1
UMI1G298BH,O3366346,Referral,167,Yes,3
UCDMPRQMDX,O8144438,SEO,84,No,3
S8NXR64KYH,O5378002,SEO,61,Yes,3
APJA2RVGZF,O6493534,Direct,127,No,3
6KETAG80ZV,O3773301,SEO,82,No,2
ZBAZY17IFW,O9996566,Referral,158,No,3
QOYN8W4V3J,P9049981,Display,60,No,2
25GHW7KYUF,P3949277,Paid Search,93,Yes,3
QSVKKAD4CG,P4407619,Paid Search,517,No,5
VCT1DDBFST,P4070801,Paid Search,139,No,1
6NFNJHGL8M,P7889172,Paid Search,157,No,3
L028G5Z2NO,P5947752,Display,69,No,3
OBQHG7DAE5,O6365656,SEO,119,Yes,3
48C1Q5T77F,P9164002,Display,85,No,2
BNAJO7B0P3,O3205555,Referral,162,No,3
27AUOUIL0Y,P1928748,Paid Search,168,No,1
73J2A80JKY,O9445656,Referral,91,Yes,1
BGTOK7S6OA,O2987487,Direct,450,No,5
VIK1KMPMOC,P4661598,Display,178,No,3
EH5I28O5EH,P8327732,Paid Search,138,No,2
G0GZKDFML2,P2641433,Paid Search,471,No,6
696UH720JM,O9666687,SEO,70,No,3
T4WK18FRX1,O5516906,Direct,371,No,4
BKLYO0SKVB,O1805310,Referral,174,No,3
R70PNNB0H1,O6029173,Direct,172,No,2
3QE4RUP8XO,O3806157,SEO,88,No,3
XEAMET5C5I,P7403355,Display,142,No,3
1D92L6ZI25,P9194164,Paid Search,121,No,3
3RW323GR1W,P1419253,Paid Search,150,No,3
VZQ986V9B5,O3027312,Referral,160,No,1
EU9H8GCKWD,P8041034,Paid Search,139,No,3
IE73GQ0IHS,O5776590,Direct,102,Yes,1
HIIQEBL662,O2659444,SEO,97,Yes,1
AM475FMBAO,P7739044,Paid Search,105,No,2
7P0QBGLXPS,O7055220,Direct,142,No,2
YX88DOI2BJ,P5682407,Display,138,No,1
YNBER9TJZ8,P7255829,Display,322,No,4
HLN5GRK730,O1092279,Referral,140,No,1
9VTTDUCMIV,O6253280,Direct,562,No,6
0946W7X36L,P4552383,Display,158,Yes,1
W6NQ9TJS25,O1890873,Referral,88,No,2
9VVEW0TZ68,O5268289,Direct,73,Yes,3
3SCTSIATHL,P3232918,Paid Search,94,No,2
HK56OKU6SW,O4521160,Referral,78,No,3
9T1BWUU8IW,O2531187,Direct,151,Yes,2
MNQRZLHZRF,O7426736,Direct,105,Yes,1
2YMYCHF6E9,P9442671,Paid Search,96,No,2
L1DLZ1NH6F,P4526035,Paid Search,143,No,1
0QY7GT97RB,O9134108,Direct,144,No,2
4HHVMFM6AS,P3233941,Display,572,No,5
B98WQGOE63,O3753302,Referral,340,No,6
70T4PK2GEY,O4904336,Referral,99,No,3
BY94Y2775P,P3122512,Display,135,No,1
KOG5HVZZ5T,P2789805,Paid Search,139,No,1
C8Y0LGCUDA,P3442230,Paid Search,128,No,2
GJVFBPR6RB,P6298977,Paid Search,392,No,4
E4TU963HXP,P9658106,Paid Search,427,No,6
OU7AHDZUVJ,O2830202,Referral,124,Yes,3
M7VRD4GC7Q,P4413376,Paid Search,65,Yes,3
IJ67HQXR8S,O2828373,Referral,166,Yes,3
O5XAG173ZF,O4426635,Direct,107,No,3
A6LSEUEURF,O4835566,Direct,179,Yes,1
YCPR4RYZX4,P9341676,Paid Search,133,No,3
N9DLZKHYTG,O2842710,Direct,161,No,2
HN113SRD13,P2224881,Paid Search,476,No,6
