AdDate,CreativeID,ExposureID,AdFormat,Viewable,WasClicked,Conversion,SpendonExposure,RevenueGenerated
Jan-22,C0011,O5342698,Carousel,Yes,No,No,0,0
Nov-22,C0059,O4524773,Banner,Yes,Yes,No,0,0
Aug-22,C0042,P5004589,Carousel,Yes,No,No,680,0
Feb-22,C0161,O5683880,Video,No,No,No,0,0
Feb-22,C0076,P7435869,Carousel,No,No,No,706,0
Jul-22,C0006,O1503476,Banner,No,No,No,0,0
Apr-22,C0224,P6812463,Banner,Yes,Yes,No,234,0
Dec-22,C0227,P7340632,Carousel,Yes,No,No,682,0
Jul-22,C0046,P1294632,Banner,Yes,Yes,Yes,595,357
Dec-22,C0188,P7443882,Banner,Yes,Yes,Yes,508,140
Apr-22,C0186,O3035841,Video,Yes,Yes,No,0,0
Sep-22,C0158,P6830831,Carousel,Yes,No,No,383,0
Apr-22,C0250,O9107546,Banner,Yes,Yes,No,0,0
Feb-22,C0024,P7808795,Carousel,No,No,No,474,0
Feb-22,C0006,P6246272,Banner,Yes,Yes,No,381,0
May-22,C0198,P1201310,Banner,No,No,No,665,0
Apr-22,C0116,P4406335,Banner,Yes,No,No,495,0
Sep-22,C0057,O5266802,Video,Yes,Yes,Yes,0,727
Nov-22,C0117,O3909256,Carousel,No,No,No,0,0
Oct-22,C0038,P1679994,Carousel,Yes,Yes,Yes,153,423
Sep-22,C0141,P9216048,Video,No,No,No,508,0
Mar-22,C0186,O5508623,Banner,Yes,No,No,0,0
Nov-22,C0087,O5544533,Carousel,No,No,No,0,0
Feb-22,C0042,P3622220,Carousel,No,No,No,384,0
Nov-22,C0024,P5056182,Video,Yes,No,No,315,0
Feb-22,C0062,O8203117,Video,No,No,No,0,0
Aug-22,C0217,O1062830,Banner,No,No,No,0,0
Jul-22,C0054,O4363696,Carousel,No,No,No,0,0
Mar-22,C0166,O5607970,Carousel,Yes,No,No,0,0
Oct-22,C0024,O1526381,Banner,No,No,No,0,0
Nov-22,C0123,O9159678,Banner,Yes,No,No,0,0
Mar-22,C0218,P1612512,Banner,No,No,No,501,0
Dec-22,C0244,O9300987,Carousel,Yes,Yes,No,0,0
Aug-22,C0157,P7125752,Banner,Yes,No,No,714,0
Jun-22,C0037,P8595954,Banner,No,No,No,483,0
Aug-22,C0209,O1421883,Video,Yes,No,No,0,0
Jan-22,C0080,P1226587,Video,No,No,No,638,0
Sep-22,C0056,O4536690,Banner,No,No,No,0,0
Jun-22,C0122,P9806171,Banner,Yes,No,No,116,0
May-22,C0031,O2028859,Banner,No,No,No,0,0
Jul-22,C0144,P8464936,Carousel,No,No,No,362,0
Jan-22,C0127,P5727238,Video,No,No,No,98,0
Mar-22,C0170,P6112853,Banner,Yes,Yes,No,494,0
Jan-22,C0065,P3772439,Banner,No,No,No,837,0
Jan-22,C0069,O3503440,Banner,Yes,No,No,0,0
Dec-22,C0017,O7851578,Video,No,No,No,0,0
Jul-22,C0180,O2014320,Video,No,No,No,0,0
Sep-22,C0055,O7949557,Video,Yes,Yes,No,0,0
May-22,C0157,P9986578,Carousel,Yes,No,No,190,0
May-22,C0063,P3544545,Banner,Yes,Yes,No,425,0
Dec-22,C0142,O7013689,Banner,No,No,No,0,0
Mar-22,C0006,O1422734,Banner,Yes,Yes,No,0,0
Dec-22,C0098,P6899860,Carousel,Yes,Yes,No,128,0
Mar-22,C0224,O3198673,Banner,Yes,No,No,0,0
Mar-22,C0177,P7590336,Video,Yes,No,No,619,0
Aug-22,C0140,O6281949,Carousel,No,No,No,0,0
May-22,C0243,O4317420,Video,Yes,No,No,0,0
Feb-22,C0197,O2520935,Banner,Yes,Yes,No,0,0
Jul-22,C0164,O4925349,Carousel,No,No,No,0,0
May-22,C0241,O9917299,Video,Yes,No,No,0,0
Nov-22,C0085,P7571509,Carousel,Yes,No,No,575,0
Dec-22,C0244,P2349592,Video,Yes,No,No,881,0
Dec-22,C0149,O8551081,Carousel,No,No,No,0,0
Apr-22,C0081,P1203577,Banner,Yes,No,No,672,0
Jun-22,C0010,P3545799,Video,Yes,Yes,Yes,231,856
Jul-22,C0152,P5096425,Video,Yes,Yes,Yes,730,111
Oct-22,C0170,P2085857,Carousel,No,No,No,883,0
Oct-22,C0185,P8563866,Banner,No,No,No,222,0
Jul-22,C0192,O7780269,Video,Yes,No,No,0,0
Nov-22,C0074,O1215821,Carousel,No,No,No,0,0
Apr-22,C0177,O5786104,Carousel,No,No,No,0,0
Jul-22,C0221,O6203911,Carousel,No,No,No,0,0
Aug-22,C0011,O8829150,Video,Yes,Yes,Yes,0,611
Feb-22,C0209,P9018654,Video,No,No,No,393,0
Dec-22,C0008,O9736150,Banner,Yes,No,No,0,0
Sep-22,C0092,P4077604,Carousel,No,No,No,159,0
Aug-22,C0063,O7569007,Video,Yes,No,No,0,0
Apr-22,C0041,O7116053,Banner,Yes,No,No,0,0
Apr-22,C0241,P1811689,Carousel,No,No,No,540,0
Mar-22,C0064,O5783179,Carousel,No,No,No,0,0
Mar-22,C0091,O8500393,Carousel,Yes,Yes,No,0,0
Jun-22,C0025,P5506389,Banner,Yes,Yes,Yes,317,414
Nov-22,C0002,P3503400,Video,No,No,No,629,0
Jun-22,C0105,O2877572,Video,No,No,No,0,0
Aug-22,C0181,O6002543,Banner,Yes,Yes,Yes,0,869
Jan-22,C0245,O2685273,Carousel,No,No,No,0,0
Mar-22,C0118,O6500546,Video,No,No,No,0,0
Apr-22,C0181,P2826795,Carousel,Yes,Yes,Yes,888,842
Feb-22,C0028,P1189482,Carousel,No,No,No,269,0
Dec-22,C0109,O7344775,Banner,Yes,Yes,No,0,0
Dec-22,C0131,P1641092,Banner,No,No,No,306,0
Sep-22,C0090,P4859967,Banner,Yes,No,No,173,0
Sep-22,C0173,P2354738,Banner,No,No,No,824,0
Dec-22,C0015,O1235229,Video,No,No,No,0,0
Apr-22,C0013,O4212059,Video,No,No,No,0,0
Sep-22,C0016,O8698128,Banner,No,No,No,0,0
Jun-22,C0078,O6132061,Video,No,No,No,0,0
Nov-22,C0061,P5564384,Banner,Yes,Yes,No,680,0
Mar-22,C0104,P5938705,Banner,Yes,No,No,501,0
Jun-22,C0023,P5348034,Carousel,Yes,No,No,98,0
Jul-22,C0035,O5193063,Banner,No,No,No,0,0
Aug-22,C0117,P6129107,Banner,Yes,No,No,798,0
Sep-22,C0012,P5125557,Banner,Yes,Yes,Yes,536,361
Apr-22,C0207,O9044904,Video,Yes,No,No,0,0
Aug-22,C0134,O5607417,Banner,No,No,No,0,0
Jan-22,C0028,O4332531,Video,Yes,No,No,0,0
Oct-22,C0007,O1111909,Carousel,No,No,No,0,0
Jun-22,C0081,O4236480,Carousel,Yes,Yes,No,0,0
Mar-22,C0206,P3914391,Video,Yes,Yes,No,408,0
Nov-22,C0033,O7068965,Banner,Yes,No,No,0,0
Oct-22,C0097,P9327781,Video,Yes,Yes,Yes,777,601
Feb-22,C0116,O7209159,Video,Yes,No,No,0,0
Sep-22,C0161,O3178286,Video,Yes,Yes,Yes,0,735
Mar-22,C0250,O6332593,Carousel,No,No,No,0,0
Aug-22,C0023,P8923130,Carousel,No,No,No,358,0
Mar-22,C0060,O6023918,Banner,Yes,No,No,0,0
Nov-22,C0031,O8800308,Carousel,No,No,No,0,0
Oct-22,C0013,O1461270,Video,Yes,Yes,No,0,0
Jul-22,C0186,O8880542,Banner,Yes,Yes,No,0,0
Dec-22,C0136,P5725904,Banner,Yes,Yes,Yes,322,430
Jul-22,C0189,P8589055,Banner,No,No,No,180,0
Dec-22,C0150,P1562390,Banner,Yes,Yes,Yes,233,506
Nov-22,C0127,P7500835,Banner,Yes,Yes,No,731,0
Sep-22,C0107,P9321120,Banner,Yes,No,No,137,0
Jul-22,C0117,P7703044,Video,Yes,Yes,No,96,0
Dec-22,C0134,O6735934,Carousel,No,No,No,0,0
Feb-22,C0097,O8280301,Banner,Yes,Yes,Yes,0,486
