UserID,ExposureID,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,Location(DMA)
UpXFe,O8606152,3P Audience,19,Female,46228,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
UpXFe,P2335021,3P Audience,19,Female,46228,iOS,Smartphone,Safari,"Casper, Wyoming"
Ufnxw,O6068542,Custom Audience,24,Male,42199,iOS,Tablet,Safari,"Laramie, Wyoming"
U1jqe,O9399392,Custom Audience,43,Female,87520,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UOckp,P7421320,Custom Audience,40,Female,87342,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
U7mXO,O3574571,1P Audience,42,Female,93232,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
UYuan,P6222609,Custom Audience,43,Female,101081,Linux,Laptop,Mozilla Firefox,"Laramie, Wyoming"
UAFG7,O9864491,1P Audience,25,Male,56870,iOS,Smartphone,Safari,"Casper, Wyoming"
U3j5r,O6084386,3P Audience,52,Male,160387,macOS,Desktop,Microsoft Edge,"Casper, Wyoming"
UzKuH,O9764701,Custom Audience,30,Female,60942,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
UTEEa,O5241832,3P Audience,31,Female,75358,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
Un0Wg,P4302894,Custom Audience,18,Female,51178,macOS,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UCMu4,P2969278,1P Audience,52,Female,140610,iOS,Tablet,Safari,"Casper, Wyoming"
UGUtZ,P7558364,3P Audience,38,Female,113760,Windows,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UzkUs,O5007787,3P Audience,33,Female,68919,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
U9RjW,P7817462,Custom Audience,48,Female,120087,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
URZQA,P2394279,Custom Audience,47,Male,164612,Android,Tablet,Microsoft Edge,"Cheyenne, Wyoming"
UqD1K,P8812877,1P Audience,45,Female,105575,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
Un0Wg,P6295544,1P Audience,18,Female,51178,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
UQfcL,O3462613,Custom Audience,53,Female,182319,macOS,Laptop,Microsoft Edge,"Casper, Wyoming"
Uqny3,P6580463,Custom Audience,52,Female,141865,macOS,Laptop,Microsoft Edge,"Laramie, Wyoming"
UXXed,O6967079,3P Audience,54,Female,187288,Android,Smartphone,Microsoft Edge,"Laramie, Wyoming"
U9JGv,O6014713,3P Audience,46,Male,160010,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
UL9db,O8597799,1P Audience,24,Male,49192,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
Uzc8L,P5647273,3P Audience,20,Female,48661,iOS,Tablet,Safari,"Casper, Wyoming"
Ufnxw,O2599201,Custom Audience,24,Male,42199,Linux,Laptop,Mozilla Firefox,"Laramie, Wyoming"
USk9P,O9335655,Custom Audience,41,Male,93719,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
UG4Wi,O1569426,Custom Audience,22,Female,53091,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
UFncM,P7893885,1P Audience,43,Female,85349,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
URS0L,P5755991,1P Audience,32,Male,71314,Windows,Desktop,Microsoft Edge,"Laramie, Wyoming"
U1P9k,O7959070,1P Audience,46,Male,183815,Linux,Laptop,Mozilla Firefox,"Laramie, Wyoming"
U2xNU,O9155021,Custom Audience,16,Female,50997,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
UDvTV,O7950202,1P Audience,37,Female,86656,Android,Smartphone,Microsoft Edge,"Cheyenne, Wyoming"
Uuh4Q,O7084039,Custom Audience,29,Female,75777,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
U1P9k,P9228266,1P Audience,46,Male,183815,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
UHiKJ,P3137743,1P Audience,30,Male,64954,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
Ufpdj,O2688353,1P Audience,29,Female,77899,Windows,Laptop,Microsoft Edge,"Cheyenne, Wyoming"
UFncM,O5011846,Custom Audience,43,Female,85349,macOS,Laptop,Microsoft Edge,"Casper, Wyoming"
UBbbN,P8896579,Custom Audience,24,Female,55903,iOS,Tablet,Safari,"Casper, Wyoming"
UaAvw,O2596475,1P Audience,32,Female,67067,macOS,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
U3Pyk,P6494394,3P Audience,23,Female,51836,iOS,Smartphone,Safari,"Laramie, Wyoming"
USuwM,P2816355,3P Audience,34,Male,66722,Windows,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
Ufnxw,O2426605,Custom Audience,24,Male,42199,iOS,Smartphone,Safari,"Laramie, Wyoming"
UPv1f,P6924199,3P Audience,26,Male,79737,Linux,Laptop,Mozilla Firefox,"Laramie, Wyoming"
UFwqa,P6039693,Custom Audience,20,Male,54319,macOS,Laptop,Microsoft Edge,"Casper, Wyoming"
UtuAY,P2364872,1P Audience,44,Female,86152,iOS,Tablet,Safari,"Casper, Wyoming"
UCTiX,P8528278,Custom Audience,24,Male,42682,iOS,Tablet,Safari,"Casper, Wyoming"
UAa8F,O8239574,1P Audience,46,Male,130888,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
U7Q21,P9024669,1P Audience,36,Male,107303,iOS,Tablet,Safari,"Laramie, Wyoming"
