AdDate,CreativeID,ExposureID,AdFormat,Viewable,WasClicked,Conversion,SpendonExposure,RevenueGenerated
Feb-21,C0143,P8602046,Banner,No,No,No,783,0
Jan-21,C0120,O3954042,Banner,Yes,Yes,No,0,0
Apr-21,C0084,O6219257,Video,No,No,No,0,0
Nov-21,C0050,O9256734,Video,No,No,No,0,0
Mar-21,C0067,P4534766,Carousel,Yes,Yes,Yes,810,404
Jan-21,C0111,O1723533,Carousel,No,No,No,0,0
Sep-21,C0106,O1817291,Video,Yes,Yes,No,0,0
Feb-21,C0074,P3508338,Carousel,Yes,No,No,890,0
Apr-21,C0127,P1584908,Carousel,No,No,No,806,0
Sep-21,C0127,P8972521,Banner,Yes,Yes,No,777,0
Nov-21,C0115,P6737378,Banner,Yes,No,No,245,0
Oct-21,C0042,P4109156,Carousel,Yes,No,No,656,0
Dec-21,C0135,O2773324,Banner,No,No,No,0,0
Aug-21,C0150,P4526634,Banner,No,No,No,512,0
Oct-21,C0138,P4143826,Banner,Yes,No,No,656,0
Jan-21,C0194,P5756855,Banner,Yes,Yes,No,879,0
Feb-21,C0085,O9316330,Banner,No,No,No,0,0
Oct-21,C0179,O7324637,Banner,Yes,No,No,0,0
Apr-21,C0013,P1471585,Carousel,Yes,No,No,552,0
Feb-21,C0117,O4452210,Video,Yes,Yes,Yes,0,182
Jul-21,C0115,P6506196,Video,Yes,No,No,763,0
Mar-21,C0182,O3350484,Carousel,Yes,Yes,No,0,0
Jan-21,C0141,O5650880,Banner,Yes,No,No,0,0
Jul-21,C0158,P6754598,Banner,Yes,No,No,687,0
Mar-21,C0047,O3190962,Banner,Yes,Yes,No,0,0
Sep-21,C0223,O1631114,Carousel,Yes,No,No,0,0
Jul-21,C0070,O6463009,Carousel,Yes,Yes,No,0,0
Nov-21,C0010,O3120442,Carousel,No,No,No,0,0
Dec-21,C0059,O6862646,Banner,No,No,No,0,0
Oct-21,C0002,P2016579,Video,No,No,No,520,0
Dec-21,C0135,P8134491,Video,Yes,Yes,Yes,181,745
Jun-21,C0128,P4437329,Video,No,No,No,566,0
Oct-21,C0230,P7601710,Video,No,No,No,826,0
Sep-21,C0182,P6958676,Carousel,Yes,Yes,Yes,456,744
Apr-21,C0163,O9091626,Carousel,No,No,No,0,0
Jan-21,C0072,P6589733,Video,Yes,Yes,No,375,0
Mar-21,C0210,P5080847,Carousel,No,No,No,240,0
Mar-21,C0058,P4593562,Carousel,No,No,No,899,0
Jul-21,C0230,O7204797,Carousel,Yes,No,No,0,0
Mar-21,C0219,O6477949,Carousel,Yes,Yes,No,0,0
Nov-21,C0214,P6530216,Banner,No,No,No,663,0
Nov-21,C0216,O2928530,Banner,Yes,No,No,0,0
Apr-21,C0112,O6299218,Carousel,Yes,Yes,No,0,0
Dec-21,C0028,P5314662,Carousel,Yes,Yes,Yes,424,393
Sep-21,C0193,O7798158,Banner,Yes,No,No,0,0
Feb-21,C0039,O6651095,Banner,No,No,No,0,0
Jun-21,C0067,O6726447,Banner,Yes,Yes,Yes,0,889
Oct-21,C0047,P9479903,Carousel,No,No,No,388,0
Sep-21,C0173,O1818982,Video,Yes,Yes,Yes,0,422
Jun-21,C0235,P8394193,Video,No,No,No,216,0
Oct-21,C0246,O7790514,Video,No,No,No,0,0
Nov-21,C0045,P7767954,Banner,Yes,Yes,Yes,511,312
Feb-21,C0173,P3747731,Video,Yes,Yes,Yes,619,141
Mar-21,C0028,P7168719,Video,No,No,No,225,0
Sep-21,C0187,O1075178,Banner,No,No,No,0,0
Jun-21,C0212,O1988061,Carousel,Yes,Yes,Yes,0,790
Nov-21,C0013,O8519264,Banner,Yes,No,No,0,0
Jul-21,C0188,P5608774,Banner,Yes,Yes,Yes,836,175
Sep-21,C0122,O7931488,Video,No,No,No,0,0
Jun-21,C0039,O9683887,Video,No,No,No,0,0
Jul-21,C0004,P2503475,Carousel,Yes,Yes,No,232,0
Sep-21,C0220,O3545159,Carousel,Yes,Yes,Yes,0,738
Sep-21,C0018,O2312408,Carousel,No,No,No,0,0
Jun-21,C0233,P1188069,Video,No,No,No,345,0
Sep-21,C0050,P7794174,Carousel,Yes,No,No,672,0
Jun-21,C0047,P4769015,Carousel,Yes,Yes,Yes,553,129
Mar-21,C0192,P4503732,Carousel,Yes,Yes,Yes,734,149
Feb-21,C0117,P7419671,Video,Yes,No,No,548,0
Jul-21,C0037,P8434087,Banner,No,No,No,378,0
