UserID,ExposureID,SegmentType,Age,Gender,Income,OperatingSystem,Device,Browser,Location(DMA)
U2Exm,O5342698,Custom Audience,44,Female,99832,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
U3OsE,O4524773,Custom Audience,43,Male,85570,iOS,Tablet,Safari,"Casper, Wyoming"
UHd0n,P5004589,1P Audience,40,Female,108204,iOS,Smartphone,Safari,"Laramie, Wyoming"
UXEp8,O5683880,3P Audience,31,Male,73763,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
U7OHm,P7435869,3P Audience,45,Female,98366,iOS,Smartphone,Safari,"Laramie, Wyoming"
Ui3ja,O1503476,3P Audience,47,Male,156588,Windows,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UnB2E,P6812463,1P Audience,19,Male,57371,iOS,Smartphone,Safari,"Laramie, Wyoming"
UNnyQ,P7340632,Custom Audience,28,Female,77910,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
UHBVZ,P1294632,Custom Audience,46,Male,196947,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
UtEhE,P7443882,Custom Audience,34,Female,69841,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
UsWIv,O3035841,3P Audience,38,Female,83997,iOS,Smartphone,Safari,"Cheyenne, Wyoming"
UHW92,P6830831,Custom Audience,54,Female,170253,Windows,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UrqDX,O9107546,1P Audience,30,Female,76066,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
UGUAn,P7808795,1P Audience,22,Male,58801,Linux,Laptop,Mozilla Firefox,"Cheyenne, Wyoming"
UoBia,P6246272,Custom Audience,23,Male,45398,Linux,Laptop,Mozilla Firefox,"Casper, Wyoming"
U9N4p,P1201310,3P Audience,49,Male,176248,Windows,Laptop,Microsoft Edge,"Casper, Wyoming"
UTIu6,P4406335,Custom Audience,45,Female,116419,Windows,Desktop,Microsoft Edge,"Cheyenne, Wyoming"
UEEXG,O5266802,3P Audience,36,Female,91509,Windows,Laptop,Microsoft Edge,"Laramie, Wyoming"
UxbuY,O3909256,1P Audience,19,Female,45151,Android,Tablet,Microsoft Edge,"Casper, Wyoming"
Ur7OK,P1679994,Custom Audience,37,Female,114719,Windows,Desktop,Microsoft Edge,"Casper, Wyoming"
Ui3ja,P9216048,1P Audience,47,Male,156588,iOS,Tablet,Safari,"Laramie, Wyoming"
UeWUB,O5508623,3P Audience,22,Male,49258,Android,Tablet,Microsoft Edge,"Laramie, Wyoming"
UaBcH,O5544533,Custom Audience,37,Male,101069,Android,Smartphone,Microsoft Edge,"Casper, Wyoming"
